TransactionID,CustomerID,Product,Quantity,UnitPrice,TotalAmount,PaymentMethod,TransactionDate
TXN0000078,CUST015839,Printer,1,81315,81315,Cash,18-07-2024
TXN0000079,CUST037815,Monitor,3,16887,50661,Cash,27-03-2025
TXN0000080,CUST001011,Tablet,3,78310,234930,Card,13-06-2025
TXN0000081,CUST048234,Phone,2,85418,170836,Card,25-02-2024
TXN0000082,CUST043623,Laptop,4,61204,244816,Cash,08-01-2025
TXN0000083,CUST004619,Phone,4,60846,243384,UPI,12-09-2024
TXN0000084,CUST006576,Mouse,1,1594,1594,Cash,04-06-2024
TXN0000085,CUST037687,Laptop,1,21557,21557,UPI,16-10-2025
TXN0000086,CUST008912,Phone,3,78407,235221,UPI,17-05-2025
TXN0000087,CUST047448,Printer,1,847,847,Card,19-11-2024
TXN0000088,CUST006424,Monitor,3,82834,248502,Card,04-10-2025
TXN0000089,CUST044718,Laptop,1,12240,12240,Card,12-03-2025
TXN0000090,CUST039901,Laptop,4,55612,222448,UPI,14-11-2025
TXN0000091,CUST042546,Tablet,3,39481,118443,Cash,03-06-2025
TXN0000092,CUST045150,Tablet,3,72764,218292,UPI,25-11-2025
TXN0000093,CUST032921,Monitor,2,74043,148086,UPI,02-01-2025
TXN0000094,CUST047483,Monitor,4,10569,42276,Cash,14-03-2024
TXN0000095,CUST044718,Laptop,5,85806,429030,NetBanking,18-10-2024
TXN0000096,CUST028228,Tablet,1,49440,49440,UPI,02-07-2024
TXN0000097,CUST043477,Printer,3,79810,239430,Cash,14-07-2024
TXN0000098,CUST034345,Headphones,5,76165,380825,Cash,27-01-2024
TXN0000099,CUST047248,Keyboard,3,84445,253335,UPI,24-02-2025
TXN0000100,CUST009747,Printer,1,34129,34129,Cash,06-06-2025
TXN0000101,CUST024443,Mouse,4,14372,57488,NetBanking,20-03-2025
TXN0000102,CUST022954,Phone,3,74056,222168,UPI,05-03-2025
TXN0000103,CUST011565,Monitor,4,69677,278708,UPI,05-06-2025
TXN0000104,CUST020876,Tablet,1,73575,73575,NetBanking,01-09-2024
TXN0000105,CUST031899,Laptop,2,36178,72356,NetBanking,21-10-2024
TXN0000106,CUST016705,Mouse,5,84731,423655,Cash,28-05-2025
TXN0000107,CUST033904,Keyboard,3,71348,214044,Cash,26-01-2024
TXN0000108,CUST021864,Printer,3,33472,100416,NetBanking,28-06-2025
TXN0000109,CUST004081,Keyboard,1,27644,27644,UPI,04-02-2024
TXN0000110,CUST034646,Tablet,3,54235,162705,UPI,27-11-2024
TXN0000111,CUST042297,Monitor,3,38658,115974,NetBanking,28-12-2024
TXN0000112,CUST026774,Printer,3,18824,56472,NetBanking,22-09-2024
TXN0000113,CUST000046,Tablet,5,76463,382315,UPI,12-07-2024
TXN0000114,CUST007870,Laptop,1,59129,59129,Cash,01-07-2024
TXN0000115,CUST022734,Monitor,5,28507,142535,UPI,18-07-2024
TXN0000116,CUST015290,Mouse,2,34067,68134,Card,20-11-2024
TXN0000117,CUST023340,Printer,1,30033,30033,UPI,03-11-2024
TXN0000118,CUST029966,Mouse,4,32779,131116,Cash,11-07-2024
TXN0000119,CUST030378,Printer,4,76409,305636,UPI,11-09-2025
TXN0000120,CUST045124,Laptop,5,65946,329730,Cash,10-07-2024
TXN0000121,CUST008406,Keyboard,4,4902,19608,UPI,22-05-2024
TXN0000122,CUST006577,Mouse,1,38864,38864,UPI,21-12-2024
TXN0000123,CUST046342,Mouse,5,66483,332415,Card,03-03-2025
TXN0000124,CUST046496,Mouse,3,56606,169818,Card,18-07-2024
TXN0000125,CUST034241,Keyboard,2,70035,140070,UPI,22-05-2025
TXN0000126,CUST039721,Monitor,2,53781,107562,Cash,31-10-2024
TXN0000127,CUST012045,Printer,4,65099,260396,Cash,16-07-2025
TXN0000128,CUST015858,Printer,3,7346,22038,Cash,29-12-2024
TXN0000129,CUST016971,Headphones,5,57612,288060,NetBanking,08-03-2025
TXN0000130,CUST036855,Tablet,5,52547,262735,NetBanking,14-01-2025
TXN0000131,CUST030138,Phone,4,48826,195304,NetBanking,20-05-2025
TXN0000132,CUST034609,Printer,4,61357,245428,NetBanking,15-05-2025
TXN0000133,CUST001142,Monitor,5,34722,173610,NetBanking,08-08-2024
TXN0000134,CUST031496,Tablet,4,24197,96788,UPI,26-05-2025
TXN0000135,CUST049997,Mouse,1,73408,73408,UPI,08-01-2024
TXN0000136,CUST005579,Keyboard,1,87556,87556,UPI,06-12-2024
TXN0000137,CUST012572,Headphones,1,62273,62273,Cash,08-09-2024
TXN0000138,CUST036717,Laptop,3,85242,255726,Card,26-05-2025
TXN0000139,CUST029310,Laptop,5,74318,371590,NetBanking,11-10-2025
TXN0000140,CUST039946,Monitor,4,4395,17580,Card,08-07-2025
TXN0000141,CUST002372,Mouse,5,36479,182395,Card,01-11-2024
TXN0000142,CUST012578,Laptop,4,62621,250484,Card,08-03-2025
TXN0000143,CUST042479,Headphones,2,44430,88860,UPI,06-10-2024
TXN0000144,CUST028976,Phone,3,54025,162075,Cash,17-03-2025
TXN0000145,CUST003175,Tablet,2,15554,31108,Card,02-12-2024
TXN0000146,CUST030751,Monitor,1,9382,9382,Card,27-05-2025
TXN0000147,CUST013265,Monitor,4,60914,243656,Card,03-09-2024
TXN0000148,CUST021518,Laptop,3,45687,137061,Cash,18-09-2024
TXN0000149,CUST017878,Mouse,5,76826,384130,UPI,18-08-2024
TXN0000150,CUST033495,Monitor,4,62197,248788,Card,31-01-2025
TXN0000151,CUST012732,Keyboard,2,45880,91760,UPI,21-02-2025
TXN0000152,CUST008855,Printer,2,40319,80638,UPI,16-04-2024
TXN0000153,CUST007669,Printer,5,61710,308550,UPI,29-11-2024
TXN0000154,CUST027844,Phone,4,1464,5856,NetBanking,16-12-2024
TXN0000155,CUST047245,Monitor,3,3289,9867,Card,08-08-2025
TXN0000156,CUST021618,Tablet,4,37006,148024,Cash,15-07-2024
TXN0000157,CUST020202,Phone,2,65942,131884,Cash,28-01-2025
TXN0000158,CUST027081,Phone,1,53135,53135,Card,04-03-2025
TXN0000159,CUST019882,Printer,1,45825,45825,Cash,06-04-2025
TXN0000160,CUST049476,Tablet,1,35979,35979,UPI,27-11-2024
TXN0000161,CUST000160,Laptop,5,78153,390765,UPI,19-12-2024
TXN0000162,CUST010918,Phone,1,19291,19291,Card,02-11-2024
TXN0000163,CUST019261,Laptop,2,37374,74748,Card,16-05-2025
TXN0000164,CUST003708,Monitor,1,27117,27117,Card,13-03-2024
TXN0000165,CUST036419,Keyboard,1,66778,66778,UPI,03-06-2025
TXN0000166,CUST021234,Headphones,2,77869,155738,Cash,07-01-2024
TXN0000167,CUST026559,Headphones,3,18217,54651,NetBanking,24-07-2024
TXN0000168,CUST036873,Monitor,1,38904,38904,UPI,03-02-2024
TXN0000169,CUST013944,Phone,2,86710,173420,Card,10-06-2025
TXN0000170,CUST016139,Laptop,4,28566,114264,Cash,27-02-2024
TXN0000171,CUST008142,Mouse,2,45185,90370,NetBanking,01-02-2025
TXN0000172,CUST018322,Phone,5,47945,239725,UPI,24-01-2025
TXN0000173,CUST006559,Mouse,4,15345,61380,UPI,07-08-2024
TXN0000174,CUST011780,Keyboard,1,26007,26007,NetBanking,04-01-2025
TXN0000175,CUST005698,Laptop,5,69608,348040,Card,03-09-2024
TXN0000176,CUST019008,Phone,3,62081,186243,NetBanking,04-01-2025
TXN0000177,CUST046295,Printer,3,20038,60114,Card,13-04-2025
TXN0000178,CUST005973,Headphones,3,29164,87492,UPI,18-02-2025
TXN0000179,CUST005480,Headphones,2,3944,7888,NetBanking,30-04-2025
TXN0000180,CUST037018,Phone,5,49175,245875,NetBanking,23-07-2025
TXN0000181,CUST007183,Keyboard,2,73690,147380,Card,09-09-2025
TXN0000182,CUST013000,Laptop,4,59660,238640,UPI,03-03-2024
TXN0000183,CUST018664,Mouse,1,77609,77609,Card,26-09-2024
TXN0000184,CUST016851,Keyboard,5,66805,334025,NetBanking,12-03-2025
TXN0000185,CUST023670,Keyboard,5,36447,182235,Card,08-08-2024
TXN0000186,CUST049452,Phone,3,76031,228093,Card,01-03-2024
TXN0000187,CUST033542,Headphones,2,26859,53718,UPI,16-11-2025
TXN0000188,CUST002838,Keyboard,3,16555,49665,UPI,11-04-2025
TXN0000189,CUST030292,Tablet,1,29365,29365,UPI,18-05-2025
TXN0000190,CUST040032,Tablet,3,41826,125478,Card,16-08-2025
TXN0000191,CUST016215,Headphones,2,23895,47790,UPI,12-06-2024
TXN0000192,CUST005444,Laptop,3,3177,9531,UPI,09-06-2025
TXN0000193,CUST046931,Keyboard,5,8462,42310,Card,09-01-2024
TXN0000194,CUST049621,Phone,4,77717,310868,Cash,31-08-2024
TXN0000195,CUST013396,Tablet,5,13401,67005,Cash,16-05-2025
TXN0000196,CUST044128,Headphones,3,82100,246300,NetBanking,02-11-2025
TXN0000197,CUST003676,Monitor,1,57133,57133,Card,18-11-2024
TXN0000198,CUST011911,Headphones,2,79901,159802,Card,28-03-2024
TXN0000199,CUST003909,Mouse,2,47735,95470,Card,30-11-2025
TXN0000200,CUST021908,Mouse,4,82543,330172,UPI,27-07-2024
TXN0000201,CUST015543,Mouse,3,75099,225297,Card,14-08-2024
TXN0000202,CUST047450,Monitor,5,39380,196900,Cash,20-02-2024
TXN0000203,CUST001324,Monitor,4,56597,226388,Cash,10-01-2024
TXN0000204,CUST042210,Headphones,5,11195,55975,UPI,11-08-2025
TXN0000205,CUST001142,Mouse,2,67950,135900,Cash,13-03-2025
TXN0000206,CUST028987,Laptop,2,83718,167436,UPI,04-11-2024
TXN0000207,CUST026898,Monitor,4,71550,286200,UPI,01-09-2025
TXN0000208,CUST031425,Keyboard,2,28639,57278,UPI,09-07-2025
TXN0000209,CUST037860,Keyboard,3,56127,168381,NetBanking,24-05-2025
TXN0000210,CUST045671,Laptop,5,23616,118080,Cash,04-02-2025
TXN0000211,CUST031255,Phone,3,55021,165063,NetBanking,30-10-2024
TXN0000212,CUST042405,Tablet,2,78320,156640,UPI,05-03-2025
TXN0000213,CUST038820,Phone,5,13425,67125,Cash,26-12-2024
TXN0000214,CUST009900,Keyboard,3,24655,73965,Card,26-08-2024
TXN0000215,CUST014440,Monitor,4,4256,17024,Card,29-04-2024
TXN0000216,CUST044381,Tablet,3,60279,180837,NetBanking,05-08-2025
TXN0000217,CUST036988,Tablet,5,1074,5370,NetBanking,08-11-2024
TXN0000218,CUST006390,Phone,1,27919,27919,Cash,08-06-2025
TXN0000219,CUST009078,Laptop,1,20081,20081,NetBanking,23-03-2024
TXN0000220,CUST038889,Keyboard,2,38850,77700,NetBanking,09-03-2025
TXN0000221,CUST016311,Laptop,2,65914,131828,UPI,01-10-2025
TXN0000222,CUST001347,Tablet,2,7986,15972,Card,28-08-2025
TXN0000223,CUST015384,Tablet,4,4462,17848,UPI,17-08-2025
TXN0000224,CUST013558,Mouse,5,71594,357970,UPI,14-11-2024
TXN0000225,CUST017944,Printer,5,29567,147835,Card,26-02-2024
TXN0000226,CUST030764,Headphones,4,60120,240480,NetBanking,28-07-2024
TXN0000227,CUST039997,Mouse,2,75894,151788,Card,09-08-2024
TXN0000228,CUST033965,Printer,4,61234,244936,NetBanking,11-03-2025
TXN0000229,CUST047604,Phone,1,14740,14740,UPI,21-01-2025
TXN0000230,CUST022094,Tablet,1,4869,4869,Cash,02-10-2025
TXN0000231,CUST040280,Keyboard,2,82455,164910,Cash,13-10-2024
TXN0000232,CUST000449,Headphones,2,41783,83566,Cash,13-11-2024
TXN0000233,CUST005527,Printer,5,26947,134735,Cash,28-08-2024
TXN0000234,CUST034389,Mouse,4,16309,65236,NetBanking,27-10-2025
TXN0000235,CUST009643,Phone,2,66782,133564,Card,08-02-2025
TXN0000236,CUST028866,Monitor,5,41718,208590,NetBanking,15-02-2025
TXN0000237,CUST016424,Laptop,1,20667,20667,UPI,26-05-2025
TXN0000238,CUST004792,Laptop,1,9100,9100,NetBanking,23-10-2025
TXN0000239,CUST036053,Laptop,5,59793,298965,NetBanking,31-03-2024
TXN0000240,CUST014288,Mouse,5,12580,62900,Card,01-06-2024
TXN0000241,CUST010958,Laptop,4,57026,228104,NetBanking,10-10-2024
TXN0000242,CUST043733,Laptop,2,17313,34626,UPI,22-02-2024
TXN0000243,CUST012304,Mouse,5,44874,224370,NetBanking,17-04-2024
TXN0000244,CUST028829,Tablet,5,16948,84740,Card,20-08-2025
TXN0000245,CUST029259,Printer,3,37117,111351,Cash,14-01-2024
TXN0000246,CUST020649,Phone,1,48262,48262,Card,06-03-2024
TXN0000247,CUST027788,Phone,4,29542,118168,Card,01-06-2025
TXN0000248,CUST042968,Headphones,5,44025,220125,UPI,26-09-2024
TXN0000249,CUST031454,Headphones,1,46421,46421,NetBanking,01-03-2025
TXN0000250,CUST034311,Printer,5,52812,264060,Cash,21-06-2024
TXN0000251,CUST015070,Printer,5,81119,405595,UPI,07-11-2025
TXN0000252,CUST038526,Mouse,5,58072,290360,NetBanking,25-04-2025
TXN0000253,CUST005454,Laptop,5,8543,42715,Cash,02-08-2025
TXN0000254,CUST002007,Printer,3,16461,49383,Cash,21-06-2024
TXN0000255,CUST001850,Tablet,1,29084,29084,Cash,08-10-2024
TXN0000256,CUST000882,Phone,2,84438,168876,UPI,18-08-2025
TXN0000257,CUST016725,Monitor,3,14228,42684,Card,22-03-2025
TXN0000258,CUST023778,Monitor,3,13203,39609,NetBanking,30-10-2024
TXN0000259,CUST005416,Printer,4,1211,4844,Cash,06-04-2025
TXN0000260,CUST049303,Laptop,1,70399,70399,Card,06-02-2025
TXN0000261,CUST041522,Mouse,5,89861,449305,UPI,27-10-2024
TXN0000262,CUST048367,Tablet,5,61516,307580,Cash,19-08-2025
TXN0000263,CUST040568,Keyboard,1,77155,77155,Cash,30-09-2024
TXN0000264,CUST009190,Headphones,5,87533,437665,NetBanking,18-02-2024
TXN0000265,CUST022438,Laptop,3,25404,76212,UPI,22-03-2024
TXN0000266,CUST012958,Mouse,5,34944,174720,NetBanking,16-06-2024
TXN0000267,CUST029140,Keyboard,2,16440,32880,NetBanking,01-03-2024
TXN0000268,CUST029572,Phone,1,19926,19926,NetBanking,25-01-2024
TXN0000269,CUST041997,Keyboard,4,59422,237688,UPI,01-01-2024
TXN0000270,CUST013855,Tablet,1,76005,76005,Card,03-03-2024
TXN0000271,CUST046648,Monitor,4,46439,185756,Card,10-01-2024
TXN0000272,CUST031885,Headphones,3,52732,158196,UPI,02-09-2024
TXN0000273,CUST025879,Headphones,3,78205,234615,UPI,20-12-2024
TXN0000274,CUST047385,Tablet,5,19812,99060,NetBanking,26-08-2025
TXN0000275,CUST032630,Monitor,4,26875,107500,UPI,20-06-2025
TXN0000276,CUST016046,Printer,4,32619,130476,Cash,08-08-2024
TXN0000277,CUST041581,Tablet,4,41543,166172,NetBanking,24-01-2024
TXN0000278,CUST028409,Keyboard,4,8200,32800,UPI,21-10-2025
TXN0000279,CUST009467,Mouse,2,660,1320,Card,10-07-2024
TXN0000280,CUST033739,Phone,5,30517,152585,Card,15-12-2024
TXN0000281,CUST000957,Keyboard,1,27561,27561,UPI,25-06-2025
TXN0000282,CUST008612,Phone,1,42003,42003,UPI,02-01-2025
TXN0000283,CUST005233,Keyboard,3,62050,186150,NetBanking,20-07-2024
TXN0000284,CUST007740,Tablet,1,87463,87463,NetBanking,20-10-2024
TXN0000285,CUST012719,Keyboard,3,62440,187320,Cash,31-05-2025
TXN0000286,CUST016891,Laptop,3,87489,262467,Card,11-07-2024
TXN0000287,CUST037915,Tablet,3,47925,143775,Cash,31-08-2024
TXN0000288,CUST031089,Tablet,4,16509,66036,NetBanking,03-08-2025
TXN0000289,CUST007188,Phone,2,15254,30508,Cash,14-06-2025
TXN0000290,CUST035899,Laptop,1,71574,71574,NetBanking,30-08-2025
TXN0000291,CUST024620,Printer,4,61743,246972,UPI,18-04-2024
TXN0000292,CUST026942,Tablet,3,28894,86682,NetBanking,21-11-2025
TXN0000293,CUST016235,Keyboard,1,25650,25650,NetBanking,22-05-2025
TXN0000294,CUST040112,Printer,2,4660,9320,UPI,28-09-2025
TXN0000295,CUST002218,Keyboard,5,1012,5060,Card,08-10-2024
TXN0000296,CUST010447,Mouse,5,58694,293470,Card,23-04-2025
TXN0000297,CUST002108,Laptop,2,47469,94938,UPI,03-05-2025
TXN0000298,CUST042117,Monitor,3,6725,20175,Cash,27-12-2024
TXN0000299,CUST037885,Laptop,5,8699,43495,Card,30-04-2024
TXN0000300,CUST003113,Mouse,5,79079,395395,Cash,27-02-2025
TXN0000301,CUST023453,Tablet,3,12068,36204,Cash,16-05-2025
TXN0000302,CUST023869,Keyboard,4,62209,248836,Cash,21-12-2024
TXN0000303,CUST046590,Monitor,5,88336,441680,UPI,19-09-2025
TXN0000304,CUST014325,Phone,1,80564,80564,NetBanking,04-02-2025
TXN0000305,CUST007904,Monitor,4,87015,348060,NetBanking,25-04-2024
TXN0000306,CUST017189,Phone,1,908,908,UPI,13-11-2024
TXN0000307,CUST041226,Laptop,1,24853,24853,UPI,11-07-2024
TXN0000308,CUST029232,Phone,2,44635,89270,UPI,14-11-2025
TXN0000309,CUST019644,Headphones,3,14888,44664,UPI,26-01-2024
TXN0000310,CUST013020,Laptop,3,70309,210927,Card,15-01-2024
TXN0000311,CUST045815,Tablet,4,77738,310952,Cash,30-09-2025
TXN0000312,CUST008188,Mouse,5,87600,438000,UPI,28-12-2024
TXN0000313,CUST034745,Monitor,5,86525,432625,Cash,26-05-2024
TXN0000314,CUST032316,Monitor,1,42334,42334,Card,12-07-2025
TXN0000315,CUST010358,Laptop,5,14213,71065,NetBanking,15-11-2025
TXN0000316,CUST049302,Headphones,4,5856,23424,Cash,04-02-2025
TXN0000317,CUST033570,Keyboard,3,62743,188229,Card,27-05-2024
TXN0000318,CUST042259,Mouse,2,66946,133892,NetBanking,29-06-2024
TXN0000319,CUST039907,Laptop,1,33458,33458,Cash,02-11-2024
TXN0000320,CUST000751,Printer,3,45376,136128,Cash,09-07-2025
TXN0000321,CUST015897,Printer,2,57375,114750,Cash,16-03-2025
TXN0000322,CUST018908,Laptop,4,30080,120320,UPI,08-02-2024
TXN0000323,CUST022105,Phone,3,62465,187395,Cash,10-01-2025
TXN0000324,CUST021379,Laptop,5,81873,409365,Cash,14-12-2024
TXN0000325,CUST020990,Keyboard,5,11051,55255,Card,15-10-2025
TXN0000326,CUST018139,Printer,1,29974,29974,Card,28-10-2024
TXN0000327,CUST029598,Keyboard,5,4892,24460,Card,18-11-2025
TXN0000328,CUST037147,Mouse,5,31890,159450,UPI,17-02-2025
TXN0000329,CUST030648,Phone,1,30106,30106,Cash,24-06-2025
TXN0000330,CUST026497,Phone,4,8081,32324,Card,26-01-2025
TXN0000331,CUST033464,Keyboard,5,46728,233640,UPI,25-01-2024
TXN0000332,CUST002781,Tablet,1,6040,6040,Cash,10-06-2025
TXN0000333,CUST042233,Mouse,3,45994,137982,NetBanking,28-07-2025
TXN0000334,CUST036442,Laptop,5,65011,325055,UPI,20-11-2025
TXN0000335,CUST015283,Monitor,5,37168,185840,Card,21-08-2024
TXN0000336,CUST013105,Laptop,3,67755,203265,NetBanking,06-02-2024
TXN0000337,CUST036686,Laptop,3,41445,124335,Card,14-08-2025
TXN0000338,CUST008174,Printer,3,21490,64470,Cash,05-01-2024
TXN0000339,CUST010498,Keyboard,5,69726,348630,NetBanking,15-06-2024
TXN0000340,CUST023476,Keyboard,3,28285,84855,UPI,29-11-2024
TXN0000341,CUST008025,Printer,2,11213,22426,Card,08-02-2025
TXN0000342,CUST049108,Keyboard,4,66751,267004,Cash,04-08-2025
TXN0000343,CUST032608,Mouse,4,44217,176868,Card,30-12-2024
TXN0000344,CUST038639,Keyboard,1,60074,60074,UPI,24-04-2024
TXN0000345,CUST004792,Laptop,4,13815,55260,Cash,12-08-2024
TXN0000346,CUST038743,Mouse,5,74576,372880,Cash,04-12-2024
TXN0000347,CUST005762,Keyboard,4,56918,227672,Card,23-01-2024
TXN0000348,CUST001890,Headphones,5,37593,187965,NetBanking,01-08-2025
TXN0000349,CUST026112,Keyboard,4,83957,335828,Cash,11-02-2024
TXN0000350,CUST037704,Headphones,2,34811,69622,Cash,07-12-2024
TXN0000351,CUST045289,Laptop,1,24276,24276,Card,23-09-2024
TXN0000352,CUST009572,Phone,2,44600,89200,NetBanking,01-10-2024
TXN0000353,CUST045122,Phone,4,5357,21428,NetBanking,18-11-2025
TXN0000354,CUST016604,Tablet,1,67744,67744,NetBanking,26-08-2024
TXN0000355,CUST048038,Keyboard,5,18058,90290,Card,06-07-2025
TXN0000356,CUST021032,Laptop,1,39116,39116,NetBanking,03-11-2024
TXN0000357,CUST038838,Phone,3,23923,71769,UPI,11-03-2025
TXN0000358,CUST013377,Headphones,1,71202,71202,UPI,06-01-2025
TXN0000359,CUST012743,Headphones,2,8110,16220,Card,21-09-2025
TXN0000360,CUST039603,Printer,3,35840,107520,Cash,12-10-2025
TXN0000361,CUST044975,Phone,4,74272,297088,Card,28-04-2024
TXN0000362,CUST017082,Printer,5,3007,15035,NetBanking,04-02-2024
TXN0000363,CUST023830,Headphones,1,36336,36336,Card,26-11-2025
TXN0000364,CUST006480,Mouse,5,20906,104530,Card,04-07-2024
TXN0000365,CUST005008,Monitor,4,68945,275780,Cash,02-03-2025
TXN0000366,CUST009606,Tablet,1,40759,40759,NetBanking,21-11-2024
TXN0000367,CUST029762,Mouse,5,85902,429510,Card,25-03-2025
TXN0000368,CUST013906,Printer,3,66251,198753,NetBanking,19-03-2024
TXN0000369,CUST021434,Headphones,1,62144,62144,NetBanking,04-02-2024
TXN0000370,CUST033968,Keyboard,3,34491,103473,NetBanking,09-06-2024
TXN0000371,CUST022046,Printer,5,42926,214630,Cash,08-02-2025
TXN0000372,CUST010174,Tablet,4,71575,286300,Cash,12-11-2024
TXN0000373,CUST049032,Headphones,3,79417,238251,UPI,13-11-2024
TXN0000374,CUST047608,Phone,4,75081,300324,Cash,15-04-2025
