CampaignID,CustomerID,Channel,Campaign,CampaignDate,Response
MKT0000078,CUST002235,Facebook,Festival,29-07-2025,Ignored
MKT0000079,CUST048154,Email,New Launch,26-08-2024,Opened
MKT0000080,CUST045521,Email,Cashback,21-07-2024,Opened
MKT0000081,CUST004120,SMS,Festival,16-06-2025,Clicked
MKT0000082,CUST036125,Email,Cashback,17-02-2024,Opened
MKT0000083,CUST039796,Instagram,Cashback,26-05-2024,Converted
MKT0000084,CUST005029,Facebook,Summer Sale,16-09-2024,Opened
MKT0000085,CUST017603,SMS,Cashback,09-02-2024,Opened
MKT0000086,CUST010791,Facebook,Summer Sale,14-09-2024,Ignored
MKT0000087,CUST038675,Google Ads,New Launch,27-11-2024,Ignored
MKT0000088,CUST039276,Facebook,Cashback,26-11-2024,Clicked
MKT0000089,CUST028165,Instagram,New Launch,23-06-2025,Converted
MKT0000090,CUST048236,Email,New Launch,11-04-2025,Converted
MKT0000091,CUST004039,Facebook,Festival,07-02-2025,Ignored
MKT0000092,CUST039941,Facebook,New Launch,02-12-2024,Opened
MKT0000093,CUST032891,Instagram,Cashback,20-01-2025,Clicked
MKT0000094,CUST013565,SMS,New Launch,23-06-2025,Clicked
MKT0000095,CUST006085,Facebook,Summer Sale,09-03-2025,Opened
MKT0000096,CUST011543,Google Ads,Summer Sale,11-07-2024,Ignored
MKT0000097,CUST047435,Email,Cashback,20-08-2024,Clicked
MKT0000098,CUST004650,SMS,Summer Sale,18-10-2024,Clicked
MKT0000099,CUST042708,SMS,Cashback,28-05-2024,Converted
MKT0000100,CUST006694,Facebook,Summer Sale,21-06-2024,Clicked
MKT0000101,CUST010134,Instagram,Cashback,27-01-2025,Clicked
MKT0000102,CUST038143,Instagram,New Launch,15-02-2024,Converted
MKT0000103,CUST022907,Email,New Launch,28-05-2024,Clicked
MKT0000104,CUST019841,Google Ads,Summer Sale,01-11-2024,Opened
MKT0000105,CUST010449,Facebook,New Launch,23-06-2024,Opened
MKT0000106,CUST038417,Google Ads,Festival,30-04-2025,Ignored
MKT0000107,CUST047615,SMS,Cashback,10-12-2024,Ignored
MKT0000108,CUST040800,SMS,Summer Sale,27-02-2025,Converted
MKT0000109,CUST021606,Email,New Launch,27-08-2025,Ignored
MKT0000110,CUST049932,SMS,Cashback,09-07-2025,Converted
MKT0000111,CUST021081,SMS,Summer Sale,22-12-2024,Converted
MKT0000112,CUST039220,Google Ads,Cashback,30-05-2025,Ignored
MKT0000113,CUST047119,Google Ads,Summer Sale,03-10-2025,Ignored
MKT0000114,CUST010470,SMS,Cashback,10-07-2025,Opened
MKT0000115,CUST022139,Email,Festival,24-01-2025,Clicked
MKT0000116,CUST044829,Google Ads,Cashback,22-03-2025,Opened
MKT0000117,CUST015888,Instagram,New Launch,18-06-2025,Opened
MKT0000118,CUST018902,Facebook,Festival,20-10-2025,Opened
MKT0000119,CUST028075,Instagram,Cashback,31-05-2024,Opened
MKT0000120,CUST000343,SMS,Cashback,24-04-2025,Opened
MKT0000121,CUST012627,Google Ads,Summer Sale,18-09-2025,Clicked
MKT0000122,CUST013373,Facebook,Summer Sale,17-09-2025,Ignored
MKT0000123,CUST006924,Email,Cashback,11-11-2025,Converted
MKT0000124,CUST027121,Email,New Launch,09-02-2024,Ignored
MKT0000125,CUST015159,Facebook,Cashback,05-01-2024,Opened
MKT0000126,CUST044210,SMS,Summer Sale,20-07-2024,Converted
MKT0000127,CUST048982,Instagram,New Launch,07-09-2025,Converted
MKT0000128,CUST007426,Email,Festival,01-04-2024,Clicked
MKT0000129,CUST048722,Google Ads,Summer Sale,02-03-2025,Opened
MKT0000130,CUST022115,Facebook,New Launch,21-08-2025,Converted
MKT0000131,CUST007886,SMS,Festival,03-07-2024,Clicked
MKT0000132,CUST043935,Google Ads,Summer Sale,02-08-2024,Ignored
MKT0000133,CUST048428,Facebook,New Launch,06-03-2024,Clicked
MKT0000134,CUST043952,SMS,Festival,03-06-2025,Opened
MKT0000135,CUST030794,Email,Summer Sale,01-07-2024,Ignored
MKT0000136,CUST009709,Google Ads,Cashback,04-10-2025,Converted
MKT0000137,CUST044550,Instagram,Summer Sale,21-04-2025,Ignored
MKT0000138,CUST010758,SMS,Festival,18-12-2024,Clicked
MKT0000139,CUST023714,Instagram,Festival,27-07-2025,Clicked
MKT0000140,CUST012661,Google Ads,Summer Sale,16-12-2024,Ignored
MKT0000141,CUST047362,Instagram,New Launch,23-04-2024,Ignored
MKT0000142,CUST023997,SMS,Cashback,19-10-2024,Clicked
MKT0000143,CUST014063,Google Ads,Festival,14-02-2024,Converted
MKT0000144,CUST015413,Email,New Launch,06-05-2024,Clicked
MKT0000145,CUST007291,Instagram,Cashback,15-09-2025,Converted
MKT0000146,CUST026924,Facebook,New Launch,15-05-2025,Converted
MKT0000147,CUST033694,Instagram,Summer Sale,13-04-2024,Clicked
MKT0000148,CUST001185,Email,Cashback,12-08-2025,Clicked
MKT0000149,CUST009675,Google Ads,Summer Sale,25-04-2025,Opened
MKT0000150,CUST030488,SMS,Cashback,14-04-2024,Opened
MKT0000151,CUST033766,Email,New Launch,16-10-2024,Converted
MKT0000152,CUST029518,Facebook,Summer Sale,13-06-2025,Converted
MKT0000153,CUST021460,Facebook,Summer Sale,20-07-2024,Converted
MKT0000154,CUST013945,SMS,New Launch,17-03-2024,Clicked
MKT0000155,CUST042746,Instagram,Festival,13-03-2024,Converted
MKT0000156,CUST035509,Email,Festival,18-01-2025,Ignored
MKT0000157,CUST022697,SMS,New Launch,03-08-2025,Converted
MKT0000158,CUST032465,Email,Cashback,07-10-2025,Ignored
MKT0000159,CUST016022,Google Ads,New Launch,13-06-2024,Converted
MKT0000160,CUST037014,Email,Cashback,12-04-2024,Clicked
MKT0000161,CUST014720,Facebook,Cashback,08-03-2024,Ignored
MKT0000162,CUST030481,Instagram,New Launch,03-09-2024,Opened
MKT0000163,CUST048302,Google Ads,Summer Sale,08-11-2024,Ignored
MKT0000164,CUST048694,SMS,Festival,25-07-2024,Converted
MKT0000165,CUST010514,Google Ads,Summer Sale,04-02-2024,Converted
MKT0000166,CUST041488,SMS,Summer Sale,03-10-2024,Converted
MKT0000167,CUST027764,Instagram,Festival,15-09-2024,Opened
MKT0000168,CUST009653,SMS,Cashback,05-07-2025,Clicked
MKT0000169,CUST001605,Instagram,Summer Sale,02-03-2025,Opened
MKT0000170,CUST027105,Instagram,Festival,19-06-2024,Converted
MKT0000171,CUST041602,Facebook,Cashback,24-10-2024,Converted
MKT0000172,CUST040514,Google Ads,Summer Sale,25-08-2025,Converted
MKT0000173,CUST004413,Google Ads,New Launch,31-12-2024,Converted
MKT0000174,CUST017411,SMS,Festival,27-11-2025,Clicked
MKT0000175,CUST022070,Facebook,Festival,29-11-2024,Ignored
MKT0000176,CUST036377,Email,Festival,14-02-2024,Ignored
MKT0000177,CUST041315,Instagram,New Launch,03-05-2025,Opened
MKT0000178,CUST028544,Instagram,Festival,10-07-2024,Opened
MKT0000179,CUST021013,Instagram,Cashback,18-05-2024,Opened
MKT0000180,CUST029301,Facebook,New Launch,15-06-2025,Clicked
MKT0000181,CUST041925,Instagram,Festival,30-04-2025,Ignored
MKT0000182,CUST003822,Email,Summer Sale,20-05-2024,Opened
MKT0000183,CUST009581,Google Ads,Cashback,16-07-2024,Opened
MKT0000184,CUST002458,Facebook,Cashback,30-01-2025,Clicked
MKT0000185,CUST026219,Email,Summer Sale,09-11-2024,Converted
MKT0000186,CUST033191,Instagram,New Launch,13-06-2025,Converted
MKT0000187,CUST007493,SMS,Festival,11-08-2024,Ignored
MKT0000188,CUST039287,Email,Summer Sale,29-06-2024,Converted
MKT0000189,CUST035709,Email,New Launch,28-04-2025,Clicked
MKT0000190,CUST041386,Email,Cashback,07-11-2025,Clicked
MKT0000191,CUST040885,SMS,Festival,12-03-2025,Converted
MKT0000192,CUST003623,Facebook,Festival,05-09-2025,Ignored
MKT0000193,CUST006611,Email,Festival,06-08-2024,Converted
MKT0000194,CUST047197,SMS,Summer Sale,02-11-2025,Opened
MKT0000195,CUST018305,Google Ads,New Launch,24-07-2024,Converted
MKT0000196,CUST011444,Instagram,New Launch,03-11-2025,Converted
MKT0000197,CUST034717,SMS,Summer Sale,14-05-2024,Ignored
MKT0000198,CUST019327,SMS,Summer Sale,07-12-2024,Clicked
MKT0000199,CUST044041,Google Ads,Cashback,21-09-2025,Converted
MKT0000200,CUST026139,Google Ads,Festival,05-10-2025,Ignored
MKT0000201,CUST007500,SMS,New Launch,02-10-2024,Converted
MKT0000202,CUST043837,Facebook,New Launch,04-08-2024,Clicked
MKT0000203,CUST022661,Facebook,New Launch,08-09-2024,Converted
MKT0000204,CUST048673,Instagram,New Launch,09-11-2024,Clicked
MKT0000205,CUST011532,Google Ads,New Launch,08-03-2025,Ignored
MKT0000206,CUST010779,SMS,Cashback,06-10-2025,Clicked
MKT0000207,CUST048678,Facebook,Cashback,10-09-2025,Opened
MKT0000208,CUST010417,Google Ads,Festival,10-10-2025,Opened
MKT0000209,CUST035798,Google Ads,Festival,15-04-2025,Ignored
MKT0000210,CUST049572,SMS,New Launch,04-01-2024,Ignored
MKT0000211,CUST026410,SMS,Cashback,21-10-2024,Clicked
MKT0000212,CUST031082,Instagram,Summer Sale,14-04-2024,Converted
MKT0000213,CUST021325,SMS,New Launch,06-04-2025,Ignored
MKT0000214,CUST038118,Google Ads,Summer Sale,04-06-2025,Clicked
MKT0000215,CUST007905,Google Ads,Cashback,09-10-2025,Clicked
MKT0000216,CUST018751,Email,New Launch,04-10-2024,Converted
MKT0000217,CUST023699,Google Ads,New Launch,10-09-2025,Converted
MKT0000218,CUST004143,Email,Summer Sale,24-10-2025,Opened
MKT0000219,CUST020273,Facebook,New Launch,10-06-2025,Converted
MKT0000220,CUST029882,Instagram,Cashback,05-02-2024,Converted
MKT0000221,CUST008837,Instagram,New Launch,21-10-2024,Converted
MKT0000222,CUST027140,Email,Summer Sale,10-06-2025,Ignored
MKT0000223,CUST048807,SMS,New Launch,06-11-2024,Ignored
MKT0000224,CUST007087,SMS,Cashback,12-07-2024,Opened
MKT0000225,CUST006810,Email,Festival,11-06-2025,Converted
MKT0000226,CUST003375,Facebook,Festival,26-02-2024,Ignored
MKT0000227,CUST031635,Facebook,Summer Sale,14-01-2025,Opened
MKT0000228,CUST037079,Google Ads,Festival,28-09-2024,Opened
MKT0000229,CUST011950,Facebook,New Launch,28-09-2024,Ignored
MKT0000230,CUST027542,SMS,New Launch,04-01-2024,Opened
MKT0000231,CUST016241,Instagram,New Launch,27-03-2025,Ignored
MKT0000232,CUST027217,SMS,Festival,02-04-2024,Converted
MKT0000233,CUST021397,Instagram,New Launch,29-12-2024,Opened
MKT0000234,CUST031818,SMS,Cashback,14-05-2025,Clicked
MKT0000235,CUST009646,Facebook,New Launch,23-08-2025,Ignored
MKT0000236,CUST017266,Email,Summer Sale,26-10-2024,Opened
MKT0000237,CUST046344,SMS,Festival,01-09-2024,Converted
MKT0000238,CUST033662,Facebook,New Launch,21-04-2024,Converted
MKT0000239,CUST000673,Facebook,Cashback,02-02-2024,Ignored
MKT0000240,CUST008695,Facebook,Festival,29-02-2024,Ignored
MKT0000241,CUST032987,Facebook,Cashback,02-10-2024,Converted
MKT0000242,CUST001721,Google Ads,Festival,02-11-2024,Opened
MKT0000243,CUST047954,Google Ads,Cashback,06-11-2024,Converted
MKT0000244,CUST000274,Instagram,Festival,11-07-2024,Opened
MKT0000245,CUST016038,Facebook,Summer Sale,16-06-2024,Clicked
MKT0000246,CUST047948,Google Ads,Cashback,20-12-2024,Ignored
MKT0000247,CUST014113,Facebook,New Launch,14-02-2024,Clicked
MKT0000248,CUST034929,SMS,Festival,01-10-2024,Converted
MKT0000249,CUST003849,SMS,Cashback,10-02-2025,Clicked
MKT0000250,CUST022197,SMS,Summer Sale,13-04-2025,Converted
MKT0000251,CUST045704,Facebook,Summer Sale,15-06-2025,Converted
MKT0000252,CUST023605,Email,Cashback,24-11-2024,Converted
MKT0000253,CUST015057,Google Ads,New Launch,08-04-2025,Ignored
MKT0000254,CUST024551,Email,Summer Sale,02-10-2025,Clicked
MKT0000255,CUST047944,Instagram,Cashback,28-07-2024,Ignored
MKT0000256,CUST012185,Email,Cashback,20-07-2025,Opened
MKT0000257,CUST009094,Google Ads,Cashback,20-06-2024,Clicked
MKT0000258,CUST027031,Facebook,Summer Sale,13-01-2025,Clicked
MKT0000259,CUST012622,SMS,Cashback,28-05-2025,Ignored
MKT0000260,CUST034735,Instagram,Cashback,09-07-2024,Opened
MKT0000261,CUST035897,SMS,Festival,29-04-2025,Converted
MKT0000262,CUST032069,Facebook,New Launch,16-05-2025,Opened
MKT0000263,CUST013060,Facebook,Cashback,19-05-2024,Converted
MKT0000264,CUST004812,Google Ads,Festival,22-01-2024,Converted
MKT0000265,CUST015720,Facebook,Summer Sale,01-06-2024,Ignored
MKT0000266,CUST012281,Google Ads,Festival,04-07-2025,Converted
MKT0000267,CUST049244,SMS,Cashback,30-04-2024,Clicked
MKT0000268,CUST030476,SMS,New Launch,20-03-2024,Converted
MKT0000269,CUST041003,Email,Cashback,08-05-2024,Ignored
MKT0000270,CUST007436,Instagram,New Launch,07-01-2024,Ignored
MKT0000271,CUST017938,Facebook,Summer Sale,02-07-2025,Opened
MKT0000272,CUST034121,Facebook,Summer Sale,22-01-2024,Ignored
MKT0000273,CUST048645,Google Ads,Summer Sale,10-02-2025,Converted
MKT0000274,CUST033842,SMS,Festival,13-07-2024,Converted
MKT0000275,CUST015249,Instagram,Cashback,30-11-2025,Opened
MKT0000276,CUST044604,Google Ads,Cashback,16-04-2024,Opened
MKT0000277,CUST000696,Facebook,Summer Sale,31-05-2024,Clicked
MKT0000278,CUST007211,Email,New Launch,01-10-2025,Opened
MKT0000279,CUST020466,Instagram,Festival,12-01-2025,Converted
MKT0000280,CUST023804,Email,New Launch,12-10-2024,Converted
MKT0000281,CUST016055,Email,Summer Sale,24-06-2024,Ignored
MKT0000282,CUST027248,Facebook,Festival,23-06-2024,Opened
MKT0000283,CUST042489,Google Ads,Festival,07-08-2024,Clicked
MKT0000284,CUST031864,Email,Festival,10-08-2024,Ignored
MKT0000285,CUST032239,Instagram,Festival,05-03-2025,Opened
MKT0000286,CUST026854,Google Ads,Cashback,12-11-2024,Ignored
MKT0000287,CUST047569,Email,Festival,24-09-2024,Clicked
MKT0000288,CUST031451,Instagram,Cashback,13-06-2024,Ignored
MKT0000289,CUST038855,Google Ads,Festival,04-11-2025,Ignored
MKT0000290,CUST013218,SMS,Summer Sale,13-02-2024,Converted
MKT0000291,CUST019935,Email,Cashback,09-04-2025,Ignored
MKT0000292,CUST015377,SMS,Festival,12-02-2025,Ignored
MKT0000293,CUST020563,Facebook,Summer Sale,15-10-2025,Ignored
MKT0000294,CUST039638,Instagram,Festival,31-01-2025,Ignored
MKT0000295,CUST013024,Facebook,Summer Sale,21-04-2025,Converted
MKT0000296,CUST024052,Google Ads,Summer Sale,30-09-2025,Converted
MKT0000297,CUST017926,SMS,New Launch,22-06-2025,Ignored
MKT0000298,CUST006499,Instagram,Cashback,07-06-2025,Ignored
MKT0000299,CUST034664,Instagram,Cashback,09-07-2025,Ignored
MKT0000300,CUST017275,SMS,Summer Sale,22-12-2024,Ignored
MKT0000301,CUST001264,SMS,Summer Sale,06-03-2025,Converted
MKT0000302,CUST025089,Email,Festival,19-03-2024,Clicked
MKT0000303,CUST038309,SMS,New Launch,17-03-2025,Clicked
MKT0000304,CUST015138,SMS,Cashback,16-09-2025,Clicked
MKT0000305,CUST013664,Instagram,Summer Sale,20-06-2024,Opened
MKT0000306,CUST029425,Email,New Launch,12-10-2024,Ignored
MKT0000307,CUST039557,Email,Festival,12-07-2025,Clicked
MKT0000308,CUST020441,Instagram,Cashback,12-04-2024,Opened
MKT0000309,CUST028479,Facebook,New Launch,12-08-2025,Clicked
MKT0000310,CUST026355,Facebook,New Launch,29-08-2025,Clicked
MKT0000311,CUST029836,Email,New Launch,14-03-2025,Converted
MKT0000312,CUST026082,Google Ads,Cashback,03-08-2024,Clicked
MKT0000313,CUST006777,Facebook,New Launch,11-11-2025,Converted
MKT0000314,CUST018067,SMS,Festival,20-10-2024,Opened
MKT0000315,CUST006797,Email,Summer Sale,06-08-2025,Clicked
MKT0000316,CUST020133,SMS,Cashback,05-01-2025,Ignored
MKT0000317,CUST019107,Email,Festival,14-05-2025,Opened
MKT0000318,CUST012705,Email,Festival,15-03-2025,Ignored
MKT0000319,CUST042846,Instagram,Summer Sale,29-09-2024,Opened
MKT0000320,CUST040022,SMS,Cashback,23-09-2025,Converted
MKT0000321,CUST023054,SMS,New Launch,04-02-2025,Converted
MKT0000322,CUST044914,SMS,Cashback,20-09-2024,Ignored
MKT0000323,CUST009498,SMS,New Launch,30-12-2024,Clicked
MKT0000324,CUST000058,Email,New Launch,12-02-2024,Opened
MKT0000325,CUST036716,SMS,Festival,10-10-2024,Ignored
MKT0000326,CUST001526,Google Ads,Cashback,29-04-2024,Converted
MKT0000327,CUST041060,Facebook,Festival,21-03-2024,Converted
MKT0000328,CUST035937,Facebook,Summer Sale,22-07-2024,Ignored
MKT0000329,CUST011550,SMS,Festival,28-04-2024,Clicked
MKT0000330,CUST047677,Facebook,Festival,10-03-2025,Ignored
MKT0000331,CUST023314,Email,Festival,07-10-2025,Ignored
MKT0000332,CUST041660,SMS,New Launch,29-04-2025,Ignored
MKT0000333,CUST018681,SMS,Cashback,07-08-2025,Converted
MKT0000334,CUST046265,Email,Summer Sale,02-04-2025,Opened
MKT0000335,CUST005812,Email,Festival,29-03-2025,Clicked
MKT0000336,CUST018031,Email,Cashback,25-02-2024,Ignored
MKT0000337,CUST016868,Instagram,New Launch,19-09-2024,Clicked
MKT0000338,CUST019503,Facebook,New Launch,04-05-2024,Converted
MKT0000339,CUST024893,Facebook,Summer Sale,08-09-2024,Ignored
MKT0000340,CUST023085,Google Ads,Festival,15-07-2024,Opened
MKT0000341,CUST024605,Facebook,Cashback,04-02-2025,Opened
MKT0000342,CUST011597,Google Ads,Festival,21-06-2025,Clicked
MKT0000343,CUST003517,Facebook,Festival,29-09-2025,Converted
MKT0000344,CUST007864,Google Ads,New Launch,23-04-2024,Clicked
MKT0000345,CUST013555,Facebook,New Launch,20-07-2024,Converted
MKT0000346,CUST027395,Email,Summer Sale,19-04-2025,Clicked
MKT0000347,CUST010169,Google Ads,Festival,25-04-2024,Converted
MKT0000348,CUST024057,Facebook,New Launch,19-03-2024,Converted
MKT0000349,CUST049461,Facebook,Summer Sale,06-01-2024,Ignored
MKT0000350,CUST020105,Email,Cashback,01-05-2025,Opened
MKT0000351,CUST008967,Facebook,Summer Sale,20-10-2024,Converted
MKT0000352,CUST042662,Google Ads,Cashback,13-11-2024,Clicked
MKT0000353,CUST031074,Instagram,New Launch,09-07-2025,Converted
MKT0000354,CUST019457,Instagram,Cashback,03-07-2024,Ignored
MKT0000355,CUST031931,SMS,New Launch,10-06-2025,Clicked
MKT0000356,CUST012411,Google Ads,Cashback,28-09-2025,Converted
MKT0000357,CUST015204,Instagram,Cashback,31-07-2025,Converted
MKT0000358,CUST043677,Facebook,New Launch,13-03-2025,Converted
MKT0000359,CUST028564,Google Ads,New Launch,14-10-2024,Ignored
MKT0000360,CUST022257,Email,New Launch,10-01-2025,Opened
MKT0000361,CUST038314,SMS,Summer Sale,02-08-2025,Clicked
MKT0000362,CUST019166,Email,Summer Sale,08-08-2025,Clicked
MKT0000363,CUST039342,SMS,New Launch,04-05-2025,Opened
MKT0000364,CUST039677,SMS,Cashback,03-05-2024,Opened
MKT0000365,CUST039067,SMS,Festival,29-01-2025,Clicked
MKT0000366,CUST022738,Facebook,Cashback,04-04-2024,Clicked
MKT0000367,CUST022494,SMS,Festival,17-11-2024,Opened
MKT0000368,CUST026725,Facebook,New Launch,02-01-2025,Converted
MKT0000369,CUST048115,Instagram,Festival,14-03-2025,Clicked
MKT0000370,CUST017060,Google Ads,Cashback,28-06-2024,Opened
MKT0000371,CUST031299,Facebook,Festival,24-07-2025,Converted
MKT0000372,CUST048404,Facebook,Cashback,02-11-2025,Clicked
MKT0000373,CUST029533,Facebook,Summer Sale,24-02-2025,Clicked
MKT0000374,CUST029152,Email,Cashback,26-04-2025,Opened
MKT0000375,CUST016758,Email,Festival,12-02-2024,Ignored
MKT0000376,CUST026602,Google Ads,Cashback,12-06-2025,Ignored
MKT0000377,CUST007972,Instagram,Summer Sale,01-07-2024,Clicked
MKT0000378,CUST000337,Google Ads,New Launch,22-04-2025,Ignored
MKT0000379,CUST035318,Google Ads,Cashback,30-07-2024,Converted
MKT0000380,CUST040893,Facebook,Festival,13-06-2024,Ignored
MKT0000381,CUST048357,SMS,Festival,10-10-2025,Opened
MKT0000382,CUST038762,SMS,New Launch,03-04-2024,Converted
MKT0000383,CUST049737,Facebook,New Launch,22-08-2025,Converted
MKT0000384,CUST048199,Instagram,New Launch,03-11-2025,Clicked
MKT0000385,CUST017010,Google Ads,New Launch,08-10-2025,Ignored
MKT0000386,CUST041794,Email,New Launch,19-07-2024,Converted
MKT0000387,CUST012300,Google Ads,New Launch,01-05-2025,Clicked
MKT0000388,CUST014951,Google Ads,Summer Sale,12-04-2025,Clicked
MKT0000389,CUST002083,Instagram,Summer Sale,03-07-2024,Ignored
MKT0000390,CUST018356,Facebook,New Launch,09-11-2025,Clicked
MKT0000391,CUST022134,Facebook,Cashback,09-06-2025,Opened
MKT0000392,CUST045444,Facebook,Cashback,06-07-2025,Opened
MKT0000393,CUST028873,Instagram,Summer Sale,01-12-2024,Converted
MKT0000394,CUST042764,Google Ads,New Launch,28-09-2025,Opened
MKT0000395,CUST038151,Google Ads,Festival,04-03-2024,Converted
MKT0000396,CUST009394,Facebook,Festival,02-07-2025,Clicked
MKT0000397,CUST042492,Email,New Launch,25-01-2024,Converted
MKT0000398,CUST027820,Instagram,New Launch,28-01-2025,Opened
MKT0000399,CUST043720,SMS,New Launch,28-12-2024,Clicked
MKT0000400,CUST033260,Email,Summer Sale,01-02-2025,Clicked
MKT0000401,CUST042902,Email,New Launch,20-09-2025,Converted
MKT0000402,CUST011889,Email,Festival,27-10-2024,Ignored
MKT0000403,CUST037844,Email,Summer Sale,06-06-2025,Ignored
MKT0000404,CUST006562,Facebook,New Launch,20-07-2025,Opened
MKT0000405,CUST008156,Google Ads,Festival,01-10-2025,Ignored
MKT0000406,CUST021121,SMS,Cashback,04-04-2025,Converted
