TicketID,CustomerID,IssueType,Status,Priority,CreatedDate,ResolutionDays
TKT0000030,CUST025983,Payment,Resolved,Medium,15-03-2025,11
TKT0000031,CUST001908,Refund,Closed,Low,25-02-2025,3
TKT0000032,CUST040430,Damaged Product,Closed,Medium,12-04-2025,11
TKT0000033,CUST015752,Damaged Product,Closed,High,26-06-2024,14
TKT0000034,CUST045435,Login,Pending,Medium,29-06-2024,14
TKT0000035,CUST001237,Damaged Product,Open,Medium,19-12-2024,5
TKT0000036,CUST010217,Delivery,Closed,High,04-08-2024,11
TKT0000037,CUST027277,Refund,Resolved,Low,19-06-2024,12
TKT0000038,CUST046048,Warranty,Resolved,Medium,04-06-2024,4
TKT0000039,CUST032876,Damaged Product,Closed,Medium,26-11-2025,10
TKT0000040,CUST011100,Payment,Open,Low,20-11-2025,6
TKT0000041,CUST029377,Warranty,Pending,Medium,05-03-2024,5
TKT0000042,CUST041114,Refund,Resolved,High,22-05-2025,1
TKT0000043,CUST012417,Login,Resolved,High,20-08-2024,12
TKT0000044,CUST004779,Delivery,Pending,Medium,27-08-2024,9
TKT0000045,CUST026418,Payment,Pending,Low,01-03-2025,3
TKT0000046,CUST019296,Payment,Open,Low,06-07-2024,5
TKT0000047,CUST028135,Damaged Product,Closed,High,23-11-2024,13
TKT0000048,CUST029826,Delivery,Resolved,High,22-04-2025,9
TKT0000049,CUST032957,Delivery,Closed,Medium,19-07-2025,7
TKT0000050,CUST040325,Login,Pending,Low,22-10-2024,6
TKT0000051,CUST038702,Warranty,Closed,Medium,06-02-2024,14
TKT0000052,CUST042999,Delivery,Open,Medium,17-10-2024,6
TKT0000053,CUST002100,Damaged Product,Open,Medium,26-10-2024,15
TKT0000054,CUST027677,Warranty,Open,Low,28-01-2025,10
TKT0000055,CUST001904,Refund,Open,Low,10-04-2025,7
TKT0000056,CUST034402,Refund,Closed,Low,31-07-2024,10
TKT0000057,CUST019333,Delivery,Open,High,31-12-2024,11
TKT0000058,CUST049197,Payment,Resolved,Low,28-11-2024,12
TKT0000059,CUST041984,Warranty,Closed,High,18-02-2025,5
TKT0000060,CUST027183,Login,Pending,Low,14-02-2024,7
TKT0000061,CUST049104,Refund,Resolved,Medium,19-11-2024,3
TKT0000062,CUST007691,Refund,Open,Medium,16-07-2025,9
TKT0000063,CUST000850,Login,Closed,High,30-04-2025,12
TKT0000064,CUST000263,Delivery,Open,Medium,23-01-2025,1
TKT0000065,CUST004020,Delivery,Resolved,Medium,05-01-2024,13
TKT0000066,CUST016957,Login,Closed,Low,29-04-2025,3
TKT0000067,CUST000993,Login,Closed,High,15-04-2024,15
TKT0000068,CUST035005,Warranty,Pending,High,31-07-2024,4
TKT0000069,CUST028615,Payment,Closed,Medium,30-06-2024,7
TKT0000070,CUST009149,Damaged Product,Pending,High,02-05-2024,7
TKT0000071,CUST048936,Delivery,Pending,High,22-04-2025,6
TKT0000072,CUST038675,Damaged Product,Open,High,06-04-2024,7
TKT0000073,CUST021073,Warranty,Resolved,Low,02-02-2025,12
TKT0000074,CUST011636,Delivery,Closed,High,30-01-2024,8
TKT0000075,CUST033441,Warranty,Pending,Medium,08-08-2024,8
TKT0000076,CUST017056,Refund,Resolved,Low,15-02-2024,5
TKT0000077,CUST039609,Payment,Closed,Medium,01-02-2025,5
TKT0000078,CUST030295,Delivery,Closed,High,04-03-2025,15
TKT0000079,CUST023054,Damaged Product,Open,Low,08-10-2025,12
TKT0000080,CUST047567,Payment,Closed,Low,07-01-2024,13
TKT0000081,CUST002646,Warranty,Pending,Medium,29-08-2024,5
TKT0000082,CUST001998,Warranty,Resolved,Medium,13-09-2024,11
TKT0000083,CUST030215,Warranty,Resolved,Low,02-09-2024,14
TKT0000084,CUST048617,Damaged Product,Pending,Medium,20-12-2024,6
TKT0000085,CUST021868,Damaged Product,Open,Low,30-03-2025,13
TKT0000086,CUST027344,Damaged Product,Resolved,Medium,24-11-2024,1
TKT0000087,CUST018170,Refund,Open,Medium,18-07-2025,1
TKT0000088,CUST039564,Warranty,Closed,Medium,08-07-2024,7
TKT0000089,CUST005619,Damaged Product,Pending,High,22-05-2025,14
TKT0000090,CUST014026,Delivery,Pending,Medium,05-04-2024,1
TKT0000091,CUST008700,Delivery,Open,High,24-01-2025,6
TKT0000092,CUST028907,Damaged Product,Closed,High,30-05-2025,3
TKT0000093,CUST043992,Warranty,Closed,High,30-11-2025,10
TKT0000094,CUST024862,Damaged Product,Closed,Low,01-10-2024,8
TKT0000095,CUST039214,Payment,Closed,High,08-01-2025,14
TKT0000096,CUST018323,Damaged Product,Pending,Low,19-03-2025,7
TKT0000097,CUST048827,Delivery,Resolved,High,23-04-2025,3
TKT0000098,CUST000541,Refund,Closed,Medium,22-01-2024,12
TKT0000099,CUST036439,Refund,Open,Medium,05-09-2025,15
TKT0000100,CUST013397,Payment,Closed,Low,24-08-2025,12
TKT0000101,CUST021363,Payment,Pending,High,03-06-2024,3
TKT0000102,CUST003480,Refund,Resolved,High,04-04-2024,10
TKT0000103,CUST042240,Delivery,Resolved,Medium,06-04-2025,12
TKT0000104,CUST018418,Login,Open,Low,05-11-2024,12
TKT0000105,CUST046978,Login,Resolved,Low,30-03-2024,11
TKT0000106,CUST043994,Damaged Product,Resolved,High,18-07-2024,2
TKT0000107,CUST014238,Damaged Product,Open,Medium,18-02-2024,11
TKT0000108,CUST023262,Login,Closed,Medium,22-12-2024,13
TKT0000109,CUST019815,Damaged Product,Pending,High,30-10-2025,8
TKT0000110,CUST035314,Warranty,Closed,Low,23-02-2024,11
TKT0000111,CUST008957,Login,Resolved,Low,03-02-2024,12
TKT0000112,CUST025035,Warranty,Open,High,14-03-2025,7
TKT0000113,CUST005798,Warranty,Open,Medium,10-11-2024,12
TKT0000114,CUST035188,Refund,Open,Low,21-10-2025,4
TKT0000115,CUST001408,Refund,Pending,Medium,21-07-2025,2
TKT0000116,CUST018920,Login,Pending,Medium,17-09-2025,5
TKT0000117,CUST040616,Delivery,Pending,High,02-04-2025,9
TKT0000118,CUST011173,Refund,Pending,Low,04-03-2024,6
TKT0000119,CUST023152,Delivery,Resolved,High,09-02-2025,8
TKT0000120,CUST025831,Login,Pending,Low,23-04-2024,2
TKT0000121,CUST034980,Refund,Open,Low,14-07-2025,12
TKT0000122,CUST030793,Damaged Product,Open,Medium,17-06-2024,10
TKT0000123,CUST018393,Payment,Resolved,Medium,29-10-2024,11
TKT0000124,CUST043454,Login,Open,Medium,28-01-2025,5
TKT0000125,CUST029224,Delivery,Open,Low,11-11-2024,6
TKT0000126,CUST000447,Payment,Open,High,12-04-2025,8
TKT0000127,CUST039804,Delivery,Open,Low,29-12-2024,1
TKT0000128,CUST020743,Warranty,Open,Medium,19-07-2025,4
TKT0000129,CUST044666,Delivery,Closed,Low,16-08-2025,2
TKT0000130,CUST008999,Warranty,Resolved,High,27-01-2024,7
TKT0000131,CUST000149,Refund,Resolved,Medium,24-05-2024,8
TKT0000132,CUST023813,Login,Pending,Low,25-08-2024,9
TKT0000133,CUST029062,Delivery,Pending,High,06-01-2024,13
TKT0000134,CUST008059,Login,Pending,Medium,17-08-2024,10
TKT0000135,CUST006457,Warranty,Open,Low,07-07-2025,4
TKT0000136,CUST016884,Delivery,Closed,High,18-05-2024,14
TKT0000137,CUST035246,Payment,Open,High,09-10-2024,10
TKT0000138,CUST012156,Warranty,Open,High,22-01-2024,8
TKT0000139,CUST000973,Login,Resolved,Low,20-03-2025,12
TKT0000140,CUST021082,Payment,Open,High,14-09-2025,12
TKT0000141,CUST020125,Payment,Resolved,Medium,05-05-2025,6
TKT0000142,CUST049967,Login,Open,High,06-05-2024,4
TKT0000143,CUST006424,Damaged Product,Resolved,Medium,05-10-2024,3
TKT0000144,CUST001701,Payment,Open,Medium,18-02-2025,3
TKT0000145,CUST023528,Login,Pending,Medium,23-08-2024,8
TKT0000146,CUST048118,Refund,Pending,Medium,30-03-2024,1
TKT0000147,CUST006325,Delivery,Closed,High,19-01-2025,1
TKT0000148,CUST000645,Warranty,Pending,Medium,21-04-2024,4
TKT0000149,CUST041047,Login,Open,High,17-07-2025,13
TKT0000150,CUST025185,Payment,Open,Low,26-02-2024,7
TKT0000151,CUST028097,Refund,Pending,High,15-01-2024,6
TKT0000152,CUST006549,Refund,Closed,High,02-04-2025,4
TKT0000153,CUST026109,Refund,Resolved,Medium,20-02-2025,8
TKT0000154,CUST014276,Delivery,Pending,Medium,01-11-2025,6
TKT0000155,CUST035735,Login,Open,High,06-10-2025,9
TKT0000156,CUST029159,Warranty,Pending,Low,18-10-2025,15
TKT0000157,CUST045763,Warranty,Pending,Low,01-11-2025,15
TKT0000158,CUST046416,Warranty,Open,High,31-03-2024,15
TKT0000159,CUST047407,Payment,Open,Low,22-10-2024,1
TKT0000160,CUST027619,Refund,Closed,High,05-02-2024,12
TKT0000161,CUST049187,Payment,Closed,High,28-03-2025,7
TKT0000162,CUST048931,Delivery,Pending,Medium,11-07-2025,1
TKT0000163,CUST023664,Payment,Closed,Medium,12-02-2025,2
TKT0000164,CUST037237,Refund,Resolved,Low,02-04-2025,5
TKT0000165,CUST043324,Refund,Pending,Medium,14-11-2024,2
TKT0000166,CUST044614,Refund,Closed,Medium,04-07-2024,10
TKT0000167,CUST027729,Damaged Product,Open,Medium,12-04-2025,2
TKT0000168,CUST049778,Damaged Product,Closed,Medium,28-06-2024,10
TKT0000169,CUST013328,Warranty,Closed,Low,23-03-2024,1
TKT0000170,CUST036630,Warranty,Pending,High,06-09-2024,5
TKT0000171,CUST002559,Warranty,Resolved,High,16-10-2024,6
TKT0000172,CUST001400,Warranty,Resolved,Low,06-07-2024,2
TKT0000173,CUST007539,Payment,Resolved,Low,31-03-2024,9
TKT0000174,CUST022595,Refund,Resolved,High,19-01-2025,8
TKT0000175,CUST025408,Warranty,Pending,Low,16-08-2024,4
TKT0000176,CUST027903,Payment,Open,Medium,04-05-2024,7
TKT0000177,CUST046948,Payment,Resolved,Low,03-07-2025,4
TKT0000178,CUST002416,Warranty,Resolved,Medium,10-10-2024,10
TKT0000179,CUST023820,Login,Open,Medium,11-04-2025,14
TKT0000180,CUST030246,Damaged Product,Open,Medium,31-05-2025,6
TKT0000181,CUST034872,Login,Open,Low,17-03-2025,7
TKT0000182,CUST033749,Payment,Resolved,High,05-03-2024,5
TKT0000183,CUST032204,Delivery,Pending,Low,16-10-2025,14
TKT0000184,CUST046793,Login,Closed,High,05-03-2025,9
TKT0000185,CUST001187,Payment,Closed,High,23-05-2025,8
TKT0000186,CUST020002,Warranty,Open,High,17-05-2024,10
TKT0000187,CUST001501,Refund,Open,Low,02-12-2024,8
TKT0000188,CUST018872,Refund,Pending,Low,01-12-2025,5
TKT0000189,CUST049481,Payment,Open,Low,01-01-2025,4
TKT0000190,CUST042962,Refund,Resolved,Low,12-03-2024,1
TKT0000191,CUST037226,Delivery,Pending,High,29-03-2025,9
TKT0000192,CUST021305,Login,Pending,Low,02-04-2025,11
TKT0000193,CUST049002,Damaged Product,Open,High,10-05-2024,8
TKT0000194,CUST017712,Payment,Resolved,Low,30-11-2025,14
TKT0000195,CUST022623,Payment,Pending,Medium,23-10-2025,6
TKT0000196,CUST013717,Damaged Product,Resolved,Medium,28-07-2024,5
TKT0000197,CUST025890,Payment,Open,High,08-10-2025,7
TKT0000198,CUST025467,Damaged Product,Pending,Low,12-10-2024,11
TKT0000199,CUST049328,Damaged Product,Closed,High,21-02-2024,5
TKT0000200,CUST023467,Warranty,Open,High,17-07-2024,7
TKT0000201,CUST043614,Login,Resolved,High,12-09-2024,11
TKT0000202,CUST002463,Damaged Product,Open,Low,12-04-2025,3
TKT0000203,CUST007583,Login,Open,High,10-03-2025,1
TKT0000204,CUST049716,Warranty,Resolved,High,05-12-2024,9
TKT0000205,CUST013648,Payment,Open,Medium,06-07-2025,3
TKT0000206,CUST036348,Damaged Product,Closed,High,02-08-2024,14
TKT0000207,CUST045723,Warranty,Resolved,Low,10-02-2024,6
TKT0000208,CUST001983,Damaged Product,Open,High,31-12-2024,10
TKT0000209,CUST041817,Delivery,Closed,Low,09-04-2025,6
TKT0000210,CUST011909,Damaged Product,Closed,Low,19-05-2025,6
TKT0000211,CUST016489,Refund,Open,High,24-03-2024,7
TKT0000212,CUST020547,Delivery,Closed,Medium,17-07-2024,4
TKT0000213,CUST001678,Warranty,Resolved,High,10-10-2025,12
TKT0000214,CUST046810,Payment,Open,Low,06-06-2024,3
TKT0000215,CUST011183,Delivery,Closed,Medium,03-04-2024,6
TKT0000216,CUST010131,Refund,Closed,High,26-07-2024,7
TKT0000217,CUST029857,Payment,Closed,High,24-05-2024,9
TKT0000218,CUST029432,Login,Open,High,25-04-2025,11
TKT0000219,CUST041820,Damaged Product,Pending,High,15-07-2025,5
TKT0000220,CUST008520,Warranty,Closed,Low,11-02-2024,5
TKT0000221,CUST032668,Warranty,Open,High,29-11-2024,11
TKT0000222,CUST005330,Refund,Resolved,Medium,30-05-2025,15
TKT0000223,CUST000746,Payment,Pending,Low,24-05-2024,4
TKT0000224,CUST003139,Warranty,Resolved,High,06-10-2025,13
TKT0000225,CUST031958,Delivery,Pending,Medium,18-06-2024,12
TKT0000226,CUST031191,Payment,Closed,Medium,12-11-2025,15
TKT0000227,CUST043397,Login,Resolved,Low,25-10-2025,8
TKT0000228,CUST000942,Damaged Product,Pending,High,19-03-2024,1
TKT0000229,CUST018767,Payment,Closed,Low,01-10-2025,12
TKT0000230,CUST007359,Warranty,Resolved,High,20-02-2025,13
TKT0000231,CUST022744,Login,Resolved,Medium,19-01-2025,9
TKT0000232,CUST019028,Payment,Open,Low,25-11-2025,7
TKT0000233,CUST037795,Warranty,Resolved,Medium,22-10-2025,15
TKT0000234,CUST037304,Payment,Open,Low,28-07-2025,7
TKT0000235,CUST012317,Delivery,Closed,High,27-03-2025,10
TKT0000236,CUST033121,Payment,Open,Low,20-04-2025,6
TKT0000237,CUST012007,Delivery,Open,Medium,15-02-2024,6
TKT0000238,CUST042617,Refund,Resolved,Medium,31-05-2025,9
TKT0000239,CUST044425,Delivery,Closed,Low,18-06-2025,11
TKT0000240,CUST036352,Refund,Resolved,Low,07-12-2024,9
TKT0000241,CUST014207,Delivery,Closed,Medium,09-12-2024,4
TKT0000242,CUST033454,Payment,Resolved,Low,23-10-2024,8
TKT0000243,CUST019117,Delivery,Open,High,18-06-2025,13
TKT0000244,CUST038102,Damaged Product,Open,Medium,03-03-2024,6
TKT0000245,CUST031533,Payment,Pending,Low,08-01-2024,11
TKT0000246,CUST024715,Login,Pending,Low,24-03-2024,7
TKT0000247,CUST046423,Delivery,Resolved,Medium,23-10-2024,3
TKT0000248,CUST008244,Warranty,Open,High,24-11-2024,7
TKT0000249,CUST022661,Warranty,Closed,Low,24-02-2025,6
TKT0000250,CUST030590,Warranty,Closed,Low,31-03-2024,9
TKT0000251,CUST043493,Damaged Product,Closed,Medium,28-11-2024,12
TKT0000252,CUST034623,Damaged Product,Closed,High,22-05-2024,5
TKT0000253,CUST018518,Login,Closed,High,05-04-2024,1
TKT0000254,CUST020971,Refund,Open,High,14-11-2024,8
TKT0000255,CUST000845,Warranty,Pending,High,19-03-2025,1
TKT0000256,CUST032624,Damaged Product,Pending,Medium,13-02-2025,13
TKT0000257,CUST034603,Login,Open,High,09-05-2025,13
TKT0000258,CUST004856,Login,Open,Low,27-03-2024,3
TKT0000259,CUST042239,Delivery,Resolved,Medium,01-03-2024,9
TKT0000260,CUST028395,Payment,Closed,Low,08-08-2024,2
TKT0000261,CUST043808,Login,Closed,High,11-06-2025,3
TKT0000262,CUST015007,Delivery,Resolved,Medium,19-12-2024,14
TKT0000263,CUST010078,Damaged Product,Pending,Medium,14-08-2025,15
TKT0000264,CUST042283,Damaged Product,Resolved,Medium,22-05-2024,13
TKT0000265,CUST033361,Delivery,Open,High,21-01-2024,15
TKT0000266,CUST009764,Login,Closed,Medium,26-09-2024,10
TKT0000267,CUST043360,Damaged Product,Pending,High,02-03-2025,3
TKT0000268,CUST033778,Refund,Resolved,High,12-10-2025,2
TKT0000269,CUST034517,Login,Open,High,19-04-2025,10
TKT0000270,CUST028644,Damaged Product,Open,Low,21-10-2025,10
TKT0000271,CUST012236,Warranty,Open,Low,14-02-2024,13
TKT0000272,CUST044801,Delivery,Open,High,19-09-2025,14
TKT0000273,CUST000824,Payment,Pending,Medium,25-08-2024,3
TKT0000274,CUST011843,Login,Closed,Low,27-10-2024,5
TKT0000275,CUST008657,Delivery,Open,Medium,20-05-2025,3
TKT0000276,CUST028849,Damaged Product,Closed,High,10-10-2024,15
TKT0000277,CUST044947,Damaged Product,Resolved,Low,30-12-2024,4
TKT0000278,CUST003993,Refund,Open,Medium,04-09-2024,6
TKT0000279,CUST048186,Warranty,Resolved,Medium,06-03-2025,12
TKT0000280,CUST008651,Delivery,Closed,Medium,28-07-2025,14
TKT0000281,CUST019126,Payment,Open,High,26-03-2024,8
TKT0000282,CUST008801,Refund,Pending,Medium,09-09-2024,10
TKT0000283,CUST024933,Warranty,Pending,High,18-04-2024,13
TKT0000284,CUST032672,Login,Closed,High,06-03-2025,6
TKT0000285,CUST014452,Refund,Open,Low,12-03-2024,11
TKT0000286,CUST038730,Login,Closed,Low,11-08-2024,1
TKT0000287,CUST029010,Payment,Open,High,09-09-2024,8
TKT0000288,CUST032474,Refund,Pending,Medium,12-07-2024,2
TKT0000289,CUST012430,Damaged Product,Closed,High,19-04-2025,9
TKT0000290,CUST034333,Payment,Pending,High,16-05-2024,3
TKT0000291,CUST029139,Damaged Product,Resolved,Medium,06-09-2024,10
TKT0000292,CUST033535,Payment,Pending,High,05-11-2025,13
TKT0000293,CUST012050,Login,Pending,High,09-05-2024,15
TKT0000294,CUST023777,Login,Pending,Medium,14-03-2024,4
TKT0000295,CUST046746,Login,Pending,Low,29-06-2024,14
TKT0000296,CUST009922,Warranty,Resolved,High,05-03-2024,14
TKT0000297,CUST012260,Damaged Product,Pending,Low,30-07-2024,15
TKT0000298,CUST016130,Delivery,Closed,Low,17-06-2025,8
TKT0000299,CUST006723,Login,Pending,Low,02-08-2025,4
TKT0000300,CUST011066,Login,Open,High,15-12-2024,2
TKT0000301,CUST014884,Damaged Product,Resolved,Low,23-05-2025,7
TKT0000302,CUST040912,Payment,Closed,Medium,08-06-2025,8
TKT0000303,CUST014457,Damaged Product,Pending,Medium,18-05-2024,14
TKT0000304,CUST016151,Login,Closed,Medium,21-04-2025,14
TKT0000305,CUST024558,Refund,Closed,High,11-08-2025,2
TKT0000306,CUST029257,Warranty,Pending,Medium,31-10-2024,13
TKT0000307,CUST017908,Delivery,Pending,Low,09-02-2024,12
TKT0000308,CUST039318,Delivery,Pending,Low,28-07-2024,10
TKT0000309,CUST047532,Refund,Pending,Low,03-10-2024,9
TKT0000310,CUST022212,Delivery,Resolved,Low,10-05-2024,1
TKT0000311,CUST002022,Warranty,Pending,Medium,30-07-2025,11
TKT0000312,CUST025925,Login,Resolved,High,22-05-2024,5
TKT0000313,CUST000058,Login,Closed,High,21-03-2025,3
TKT0000314,CUST038897,Damaged Product,Resolved,Medium,30-06-2025,13
TKT0000315,CUST023890,Delivery,Closed,Medium,08-01-2024,4
TKT0000316,CUST014169,Login,Open,Low,25-08-2025,13
TKT0000317,CUST049670,Damaged Product,Resolved,Low,15-09-2024,8
TKT0000318,CUST008219,Damaged Product,Closed,Medium,28-09-2024,11
TKT0000319,CUST022672,Delivery,Pending,Low,29-06-2024,6
TKT0000320,CUST001593,Damaged Product,Closed,Low,16-02-2025,11
TKT0000321,CUST017600,Login,Resolved,High,10-06-2025,4
TKT0000322,CUST049316,Delivery,Open,High,22-12-2024,9
TKT0000323,CUST041037,Delivery,Pending,Low,07-04-2025,3
TKT0000324,CUST026513,Delivery,Pending,Low,18-07-2024,7
TKT0000325,CUST005553,Payment,Open,Medium,18-04-2024,9
TKT0000326,CUST024663,Warranty,Open,Medium,16-08-2024,14
TKT0000327,CUST008118,Login,Open,Medium,21-06-2024,2
TKT0000328,CUST020163,Payment,Closed,Medium,23-09-2024,3
TKT0000329,CUST040779,Refund,Closed,High,02-02-2024,14
TKT0000330,CUST021533,Damaged Product,Open,Medium,01-11-2024,13
TKT0000331,CUST037623,Payment,Resolved,Low,09-11-2025,5
TKT0000332,CUST033630,Payment,Closed,High,06-09-2025,13
TKT0000333,CUST023296,Damaged Product,Open,High,27-08-2025,10
TKT0000334,CUST034202,Damaged Product,Resolved,Medium,30-11-2025,14
TKT0000335,CUST005537,Login,Resolved,Medium,07-01-2025,7
TKT0000336,CUST009105,Warranty,Resolved,Low,27-10-2025,4
TKT0000337,CUST010680,Damaged Product,Pending,High,19-04-2025,4
TKT0000338,CUST019656,Delivery,Open,Low,25-08-2025,9
TKT0000339,CUST008985,Payment,Resolved,Low,16-06-2024,2
TKT0000340,CUST004323,Delivery,Closed,High,28-06-2025,14
TKT0000341,CUST016201,Login,Resolved,Medium,09-05-2025,14
TKT0000342,CUST003366,Refund,Pending,Medium,08-02-2025,8
TKT0000343,CUST004949,Payment,Resolved,Medium,22-08-2024,15
TKT0000344,CUST023971,Login,Pending,High,14-06-2024,4
TKT0000345,CUST047310,Payment,Resolved,Low,27-01-2024,2
TKT0000346,CUST046062,Payment,Open,Low,13-02-2025,1
TKT0000347,CUST018814,Warranty,Resolved,High,20-05-2025,14
TKT0000348,CUST018091,Refund,Pending,Medium,15-12-2024,15
TKT0000349,CUST024168,Payment,Open,High,27-04-2024,13
TKT0000350,CUST041789,Delivery,Pending,Low,30-10-2024,7
TKT0000351,CUST004501,Refund,Pending,High,18-06-2025,15
TKT0000352,CUST033078,Login,Open,Low,12-07-2025,2
TKT0000353,CUST003483,Login,Open,High,25-06-2025,12
TKT0000354,CUST009081,Delivery,Resolved,Low,13-02-2024,1
TKT0000355,CUST044072,Login,Pending,High,14-04-2024,15
TKT0000356,CUST003901,Delivery,Open,Low,22-07-2025,12
TKT0000357,CUST021938,Login,Resolved,High,03-11-2025,6
TKT0000358,CUST039326,Delivery,Resolved,Medium,28-04-2024,15
TKT0000359,CUST031151,Damaged Product,Pending,High,06-05-2024,1
TKT0000360,CUST029523,Damaged Product,Resolved,High,24-03-2025,13
TKT0000361,CUST005966,Warranty,Closed,High,02-02-2024,6
TKT0000362,CUST025026,Refund,Open,Medium,04-05-2025,4
TKT0000363,CUST030740,Damaged Product,Pending,High,12-08-2024,15
TKT0000364,CUST034101,Payment,Pending,Medium,06-01-2024,3
TKT0000365,CUST017212,Login,Open,Medium,02-09-2024,4
TKT0000366,CUST012576,Login,Open,Medium,28-11-2025,5
TKT0000367,CUST040160,Delivery,Closed,Medium,30-06-2025,11
TKT0000368,CUST008252,Payment,Closed,High,28-03-2025,8
TKT0000369,CUST012523,Delivery,Resolved,Low,16-05-2025,7
TKT0000370,CUST017876,Refund,Closed,High,26-04-2024,2
TKT0000371,CUST018381,Payment,Pending,Medium,07-11-2024,9
TKT0000372,CUST010309,Delivery,Resolved,Medium,25-03-2025,15
TKT0000373,CUST017289,Payment,Closed,Medium,24-09-2024,1
TKT0000374,CUST029476,Delivery,Resolved,Medium,23-06-2025,8
TKT0000375,CUST025993,Refund,Open,Low,22-01-2024,9
TKT0000376,CUST026778,Delivery,Pending,High,12-01-2024,6
TKT0000377,CUST023463,Warranty,Closed,Medium,10-01-2024,1
TKT0000378,CUST012814,Payment,Open,Low,17-01-2025,9
TKT0000379,CUST008581,Login,Resolved,Low,28-08-2025,10
TKT0000380,CUST036362,Login,Resolved,High,27-03-2024,11
TKT0000381,CUST009763,Warranty,Pending,Medium,31-01-2024,1
TKT0000382,CUST031331,Delivery,Resolved,Low,23-07-2025,2
TKT0000383,CUST013750,Login,Open,Low,23-01-2024,7
TKT0000384,CUST024691,Warranty,Pending,Low,05-01-2024,1
TKT0000385,CUST031993,Refund,Resolved,High,12-12-2024,7
TKT0000386,CUST034397,Login,Resolved,High,26-07-2025,7
TKT0000387,CUST019528,Payment,Open,High,26-08-2024,2
TKT0000388,CUST038375,Delivery,Closed,Low,09-05-2024,14
TKT0000389,CUST021173,Payment,Resolved,Medium,10-06-2025,12
TKT0000390,CUST011664,Refund,Closed,Medium,08-08-2024,15
TKT0000391,CUST015992,Login,Pending,Medium,18-10-2024,14
TKT0000392,CUST042426,Payment,Open,High,30-03-2025,11
TKT0000393,CUST012460,Payment,Open,Medium,02-11-2024,7
TKT0000394,CUST014490,Refund,Open,Medium,09-08-2025,6
TKT0000395,CUST002804,Warranty,Closed,High,21-03-2024,6
TKT0000396,CUST012547,Delivery,Pending,Low,28-02-2024,4
TKT0000397,CUST028865,Delivery,Closed,High,04-03-2024,1
TKT0000398,CUST028331,Refund,Pending,Medium,19-09-2025,5
TKT0000399,CUST008092,Payment,Closed,Low,19-05-2025,4
TKT0000400,CUST011773,Warranty,Open,Low,26-10-2024,7
TKT0000401,CUST044717,Damaged Product,Closed,High,26-11-2025,5
TKT0000402,CUST030440,Damaged Product,Closed,Low,17-11-2024,5
TKT0000403,CUST043893,Damaged Product,Open,Low,09-04-2024,6
TKT0000404,CUST006630,Warranty,Closed,Low,02-02-2025,10
TKT0000405,CUST005118,Delivery,Closed,Low,11-01-2025,2
TKT0000406,CUST031802,Delivery,Closed,High,05-02-2024,13
TKT0000407,CUST020774,Payment,Open,Low,09-12-2024,11
TKT0000408,CUST048012,Damaged Product,Closed,Low,12-04-2025,10
TKT0000409,CUST006447,Warranty,Open,Low,08-11-2025,5
TKT0000410,CUST043188,Delivery,Open,Medium,02-11-2025,7
TKT0000411,CUST009593,Payment,Pending,Medium,10-03-2025,4
TKT0000412,CUST047762,Damaged Product,Resolved,Medium,26-07-2024,11
TKT0000413,CUST032377,Delivery,Pending,Medium,24-03-2025,3
